page_id,page_title,protection_level,page_length,number_page_watchers,number_page_watchers_recent_edits,number_of_redirects,page_views_past_30days,total_edits,recent_number_of_edits,number_distinct_authors,number_categories
3874841,"""Polish death camp"" controversy",extendedconfirmed,55464,143,15,15,2614,2028,3,1,13
18938265,"""Weird Al"" Yankovic",autoconfirmed,179298,926,52,45,94011,9165,4,3,30
17901024,'Azza,extendedconfirmed,5574,Fewer than 30 watchers,,4,213,87,0,0,8
5352780,(A Ballad of) A Peaceful Man,autoconfirmed,2867,Fewer than 30 watchers,,2,117,97,2,2,8
57057212,(G)I-dle,autoconfirmed,154207,80,33,8,67847,2033,58,25,27
51189151,2017 Formula One Season,sysop,113,Fewer than 30 watchers,,0,47,15,0,0,5
31455534,...In Spite of Harry's Toenail,autoconfirmed,3043,Fewer than 30 watchers,,2,163,95,2,2,9
290328,.org,autoconfirmed,13271,138,22,2,12319,817,0,0,9
47045163,/pol/,autoconfirmed,28529,62,27,2,470,663,3,2,5
34513,0,autoconfirmed,59667,530,68,56,74553,4188,4,4,22
16352281,0.0.0.0,autoconfirmed,4417,42,6,3,11382,229,0,0,4
22770,1,autoconfirmed,23204,425,36,70,41167,3444,5,3,6
0,1+1,autoconfirmed,0,Fewer than 30 watchers,,0,0,,,,
208151,10,autoconfirmed,18385,165,23,18,11290,1414,0,0,9
59714245,123Movies,autoconfirmed,14427,88,26,6,161034,654,0,0,8
39988,1272,autoconfirmed,3321,Fewer than 30 watchers,,8,236,416,0,0,4
1969218,13th Waffen Mountain Division of the SS Handschar (1st Croatian),autoconfirmed,91263,126,16,24,7957,2172,0,0,19
2707254,1500 metres,autoconfirmed,43033,42,11,12,91627,814,28,14,4
52867888,16 Hudson,autoconfirmed,1357,Fewer than 30 watchers,,0,340,39,0,0,2
48222655,1815 in Russia,autoconfirmed,801,Fewer than 30 watchers,,0,19,15,0,0,6
66167156,1831 in Germany,autoconfirmed,3135,Fewer than 30 watchers,,0,13,11,0,0,4
59656518,1832 in Germany,autoconfirmed,6253,Fewer than 30 watchers,,1,37,25,0,0,4
66166612,1833 in Germany,autoconfirmed,2592,Fewer than 30 watchers,,0,25,6,0,0,4
66154365,1834 in Germany,autoconfirmed,3835,Fewer than 30 watchers,,0,17,11,1,1,4
66133201,1835 in Germany,autoconfirmed,3057,Fewer than 30 watchers,,0,39,6,0,0,4
66130087,1836 in Germany,autoconfirmed,2614,Fewer than 30 watchers,,0,26,7,0,0,3
66122257,1837 in Germany,autoconfirmed,3191,Fewer than 30 watchers,,0,20,9,0,0,3
66103659,1838 in Germany,autoconfirmed,2348,Fewer than 30 watchers,,0,25,9,0,0,5
66084539,1839 in Germany,autoconfirmed,6632,Fewer than 30 watchers,,0,28,14,0,0,5
66066251,1840 in Germany,autoconfirmed,4066,Fewer than 30 watchers,,0,67,11,0,0,3
66063078,1841 in Germany,autoconfirmed,2266,Fewer than 30 watchers,,0,19,13,0,0,5
66058679,1842 in Germany,autoconfirmed,2845,Fewer than 30 watchers,,0,28,10,1,1,4
66057139,1843 in Germany,autoconfirmed,5572,Fewer than 30 watchers,,0,34,9,0,0,4
52930724,1844 in Germany,autoconfirmed,2954,Fewer than 30 watchers,,0,27,41,0,0,3
