page_id,page_title,view_count,protection_level,protection_expiry,page_length,number_page_watchers,number_page_watchers_recent_edits,number_of_redirects,page_views_past_30days,total_edits,recent_number_of_edits,number_distinct_authors,number_categories,protection_expiry,protection_expiry_date,protection_expiry_time,protection_duration_days,timestamp,protection_expiry_flag
0,1+1,158367,autoconfirmed,,14897,Fewer than 30 watchers,,0,53914,522,11,6,20, 2021-08-18T12:37:14Z, 2021-08-18,12:37:14Z,-2, 2021-08-20,0
22770,1,6348167,autoconfirmed,,8196,Fewer than 30 watchers,,1,3568,459,1,1,14, 2021-08-18T10:30:04Z, 2021-08-18,10:30:04Z,-2, 2021-08-20,0
34513,0,13849109,autoconfirmed,,39017,50,14,2,24312,1134,68,19,12, 2021-08-18T04:18:26Z, 2021-08-18,04:18:26Z,-2, 2021-08-20,0
39988,1272,51218,autoconfirmed,,105409,188,61,8,35026,1056,2,2,10, 2021-08-18T16:37:16Z, 2021-08-18,16:37:16Z,-2, 2021-08-20,0
208151,10,1574140,autoconfirmed,,156510,39,13,2,11136,1621,71,25,6, 2021-08-18T15:25:45Z, 2021-08-18,15:25:45Z,-2, 2021-08-20,0
290328,.org,1807498,autoconfirmed,,145575,91,13,7,9649,4807,164,40,4, 2021-08-18T03:14:08Z, 2021-08-18,03:14:08Z,-2, 2021-08-20,0
1969218,13th Waffen Mountain Division of the SS Handschar (1st Croatian),759650,autoconfirmed,,2477,Fewer than 30 watchers,,0,16358,38,20,11,4, 2021-08-18T16:47:27Z, 2021-08-18,16:47:27Z,-2, 2021-08-20,0
2707254,1500 metres,906516,autoconfirmed,,111469,189,19,8,42977,3844,1,1,20, 2021-08-18T18:13:09Z, 2021-08-18,18:13:09Z,-2, 2021-08-20,0
5352780,(A Ballad of) A Peaceful Man,,autoconfirmed,,9145,Fewer than 30 watchers,,2,5920,422,12,6,10, 2021-08-18T02:09:11Z, 2021-08-18,02:09:11Z,-2, 2021-08-20,0
16352281,0.0.0.0,720893,autoconfirmed,,29681,84,10,3,3533,7615,50,10,3, 2021-08-18T04:33:42Z, 2021-08-18,04:33:42Z,-2, 2021-08-20,0
