page_id,page_title,view_count,protection_level,protection_expiry,page_length,number_page_watchers,number_page_watchers_recent_edits,number_of_redirects,page_views_past_30days,total_edits,recent_number_of_edits,number_distinct_authors,number_categories
14533,India,72957075,extendedconfirmed, infinity,305550,4756,292,47,1336721,26169,22,9,57
2731583,Adolf Hitler,56231743,extendedconfirmed, infinity,170959,3285,221,55,620952,27074,30,14,62
4848272,Donald Trump,510613501,extendedconfirmed, infinity,424753,3279,439,111,588261,36581,149,44,47
5211,Christianity,14820800,autoconfirmed, infinity,268337,3131,147,38,153218,19578,3,2,37
5405,China,46845750,autoconfirmed, infinity,331485,2750,220,88,658132,18644,47,29,63
5042951,Climate change,8838526,autoconfirmed, infinity,276110,2726,203,92,168038,25193,51,20,17
3267529,Buddhism,18937746,autoconfirmed, infinity,297062,2494,109,48,147760,15945,11,6,33
5042916,Canada,48957720,autoconfirmed, infinity,253038,2351,192,21,530769,22097,46,23,43
4650,Black hole,17993925,autoconfirmed, infinity,153189,2135,144,22,153143,7913,10,7,23
5635,Christopher Columbus,23569689,autoconfirmed, infinity,113721,2001,98,25,187628,11100,4,4,61
606848,Catholic Church,11999855,autoconfirmed, infinity,235946,1974,157,66,139678,28235,5,5,53
62750956,COVID-19 pandemic,25442203,extendedconfirmed, infinity,329427,1905,638,200,759746,24408,119,51,41
7878457,Computer,23850599,autoconfirmed, infinity,120920,1900,129,31,191406,6702,6,6,27
31644,Constitution of the United States,4143586,autoconfirmed, infinity,158709,1883,121,56,65881,9158,1,1,25
28249265,Bitcoin,39952739,extendedconfirmed, infinity,211502,1826,203,53,356671,16644,11,9,41
4531,Bipolar disorder,18187413,autoconfirmed, infinity,149239,1792,91,68,161653,8597,17,7,26
6678,Cat,23671568,autoconfirmed, infinity,138143,1772,115,70,680025,14668,6,6,55
13623554,Che Guevara,21072177,autoconfirmed, infinity,179551,1762,70,56,248585,12104,10,5,51
325329,Cold War,19867233,autoconfirmed, infinity,263878,1754,120,37,204509,11699,12,8,22
8145410,Charles Darwin,20930644,autoconfirmed, infinity,159635,1751,100,20,102475,9380,3,3,63
9209651,Communism,15228733,autoconfirmed, infinity,180448,1702,115,47,142436,11494,134,17,35
1481886,Cannabis (drug),13351278,autoconfirmed, infinity,160544,1692,89,65,100678,16465,13,11,38
