page_id,page_title,view_count,protection_level,protection_expiry,page_length,number_page_watchers,number_page_watchers_recent_edits,number_of_redirects,page_views_past_30days,total_edits,recent_number_of_edits,number_distinct_authors,number_categories
340663,Paul Reiser,4433720,unprotected,,22427,76,9,4,80115,864,1,1,20
667049,Meg Tilly,3648535,unprotected,,24897,81,12,0,55019,962,8,4,26
2736939,Random number generation,3155183,unprotected,,33119,244,20,14,46350,946,7,6,15
39068821,Paige Howard,3151197,unprotected,,4265,34,8,0,26392,60,0,0,6
41414319,Sophia Amoruso,2885266,unprotected,,18081,Fewer than 30 watchers,,0,10757,193,0,0,15
863116,Extreme points of Earth,2430989,unprotected,,48,332,32,0,6331,1608,0,0,2
2023424,Gewehr 98,2165486,unprotected,,60700,96,14,23,24945,1373,3,3,14
45646371,Inuyashiki,1997393,unprotected,,30360,36,10,3,40655,364,1,1,6
3603676,Tire code,1928672,unprotected,,34557,94,9,15,10048,548,0,0,8
1180662,Pocono Mountains,1555831,unprotected,,62439,87,6,6,14800,1131,0,0,10
4253041,MIL-STD-810,1437184,unprotected,,23099,81,7,4,13295,480,3,2,4
3125556,Mikael Persbrandt,1318704,unprotected,,13130,Fewer than 30 watchers,,0,19042,396,0,0,24
77861,Tatooine,1237275,unprotected,,28763,110,13,15,9806,1149,2,2,9
540932,Pontiac Bonneville,1213082,unprotected,,69068,70,12,1,14564,1030,1,1,10
1381306,Sweat gland,1205719,unprotected,,43915,119,10,14,9331,573,3,3,15
37720592,Kernel (image processing),1204279,unprotected,,13510,70,3,0,14109,137,4,2,
3057722,Parademon,1074577,unprotected,,11434,33,10,3,4351,375,3,1,5
2079455,Royal blue,950805,unprotected,,8568,51,5,4,9407,493,1,1,5
9966,Elliptic curve cryptography,938631,unprotected,,58,161,27,0,3477,1,0,0,
46311249,Make It Pop,835354,unprotected,,21950,Fewer than 30 watchers,,2,2153,1146,0,0,3
2196839,Tony Allen (musician),680118,unprotected,,21423,38,5,1,7561,413,4,3,28
432943,Baths of Caracalla,677207,unprotected,,33142,88,10,5,6255,532,2,2,15
6132954,Gashadokuro,655597,unprotected,,5876,59,13,0,16020,220,1,1,11
516027,Kirby's Dream Land,651636,unprotected,,26569,61,9,7,6861,841,6,4,12
36190335,House of Xtravaganza,613249,unprotected,,41862,Fewer than 30 watchers,,0,7651,301,1,1,5
2984941,Pillar (car),608710,unprotected,,9241,56,6,14,5575,193,0,0,
18483349,Diligence,608239,unprotected,,7189,87,7,11,6521,328,1,1,3
6371,Centaurus,608228,unprotected,,23426,116,12,6,7001,596,0,0,7
1964809,List of lakes of Canada,554314,unprotected,,40949,37,6,9,5544,560,0,0,5
