page_id,page_title,view_count,protection_level,protection_expiry,page_length,page_id_scrapped,number_page_watchers,number_page_watchers_recent_edits,number_of_redirects,page_views_past_30days,total_edits,recent_number_of_edits,number_distinct_authors,number_categories
6371,Centaurus,608228,unprotected,,23426,,116,12,6,7001,596,0,0,7
9966,Elliptic curve cryptography,938631,unprotected,,58,,161,27,0,3477,1,0,0,
25630,Politics of Réunion,39059,unprotected,,5674,,Fewer than 30 watchers,,3,245,90,0,0,10
34389,Yukinobu Hoshino,54734,unprotected,,4551,,Fewer than 30 watchers,,4,422,86,0,0,15
68660,Amon,260795,unprotected,,2907,,Fewer than 30 watchers,,1,1904,293,1,1,
77861,Tatooine,1237275,unprotected,,28763,,110,13,15,9806,1149,2,2,9
108852,"Somers, Connecticut",89607,unprotected,,16065,,Fewer than 30 watchers,,5,1156,354,1,1,10
117674,"Vevay Township, Michigan",10237,unprotected,,8687,,Fewer than 30 watchers,,4,31,57,0,0,5
119447,"Kelliher, Minnesota",19396,unprotected,,9360,,Fewer than 30 watchers,,1,117,87,0,0,8
126613,"Lenox, New York",22413,unprotected,,9222,,Fewer than 30 watchers,,0,186,77,3,1,8
127260,"Calverton, New York",91724,unprotected,,12072,,Fewer than 30 watchers,,4,1017,105,3,2,8
133515,"Jackson Township, Northumberland County, Pennsylvania",7040,unprotected,,6828,,Fewer than 30 watchers,,1,23,50,0,0,5
134834,"New Holland, South Dakota",10344,unprotected,,7928,,Fewer than 30 watchers,,1,81,49,0,0,4
134907,"Badger, South Dakota",13004,unprotected,,11369,,Fewer than 30 watchers,,1,74,94,0,0,4
155625,Penetrance,528072,unprotected,,8209,,48,6,6,3082,189,0,0,3
172275,Mecklenburgisch dialect,31964,unprotected,,1563,,Fewer than 30 watchers,,4,143,35,0,0,
177965,Rakkestad,24891,unprotected,,9936,,Fewer than 30 watchers,,2,227,120,0,0,10
245060,List of Roman cognomina,152927,unprotected,,35187,,Fewer than 30 watchers,,0,2312,485,1,1,
265178,Bengal potatoes,23868,unprotected,,344,,Fewer than 30 watchers,,1,38,48,0,0,
278429,Antenna (ZZ Top album),223590,unprotected,,6933,,Fewer than 30 watchers,,8,21286,173,5,2,25
310053,Uar,56949,unprotected,,26,,Fewer than 30 watchers,,0,447,339,0,0,
