page_id,page_title,view_count,protection_level,protection_expiry,page_length,page_id_scrapped,number_page_watchers,number_page_watchers_recent_edits,number_of_redirects,page_views_past_30days,total_edits,recent_number_of_edits,number_distinct_authors,number_categories
1749993,20th Century Fox Home Entertainment,400690,unprotected,,123,65007973,64,11,0,1920,2,0,0,2
31140892,Made for Each Other (album),7006,unprotected,,69,31140892,25,14,0,0,2,0,0,2
2327909,Ignorance Is Bliss (album),17107,unprotected,,69,60614178,25,14,0,0,2,0,0,2
4600992,Andrew Clarke (British Army officer),21293,unprotected,,63,63747941,25,14,0,30,2,0,0,2
5066067,Casa (album),16908,unprotected,,54,61280680,25,14,0,0,2,0,0,2
28776966,The Law and the Lady (film),33777,unprotected,,70,67940642,25,14,0,1,2,0,0,2
44064923,John Hamilton (Australian footballer),2751,unprotected,,70,56966903,25,14,0,1,2,0,0,2
44508239,Imperial tortoise beetle,8320,unprotected,,64,61203768,25,14,0,0,2,0,0,2
21748682,Paul Nash (swimmer),5639,unprotected,,61,52497608,25,14,0,1,3,0,0,2
18328507,Mense,11149,unprotected,,1015,66509040,25,14,0,32,4,0,0,2
20330711,Distorted (disambiguation),2526,unprotected,,51,17047717,25,14,0,1,4,0,0,2
33735201,Peter Holcroft,1389,unprotected,,159,33735201,25,14,0,1,4,0,0,2
47319664,The Wick Local Nature Reserve,8461,unprotected,,1633,47319664,25,14,0,22,5,0,0,2
994651,Townshend Ministry,4605,unprotected,,64,51055164,25,14,0,3,5,0,0,2
14590200,Guangzhou Railway Station,35118,unprotected,,69,19425091,25,14,0,23,5,0,0,2
10933997,Detonator (film),5612,unprotected,,95,10933997,25,14,0,4,6,0,0,2
35421545,Genga River,5017,unprotected,,490,35421545,25,14,0,27,6,0,0,2
49019652,Zimbabwe Pistol and Smallbore Association,4390,unprotected,,2916,49019652,25,14,0,9,6,0,0,2
35534569,Lex Plaetoria,9224,unprotected,,4648,35534569,25,14,0,58,7,0,0,2
17549547,Young Communist League of Western Ukraine,4565,unprotected,,682,17549547,25,14,0,24,7,0,0,2
22358273,Mesohibolites,2748,unprotected,,1214,22358273,25,14,0,7,7,0,0,2
28067950,DJ Kane discography,5367,unprotected,,14453,28067950,25,14,0,38,7,0,0,2
44920665,Qurini,5726,unprotected,,1915,44920665,25,14,2,10,7,0,0,2
19935412,Norwegian Seafood Federation,5490,unprotected,,550,19935412,25,14,0,18,8,0,0,2
42695181,"Cracroft, British Columbia",4466,unprotected,,1914,42695181,25,14,0,25,8,0,0,2
46358563,DIRC2,3494,unprotected,,2098,46358563,25,14,0,1,8,0,0,2
23924915,Pirapozinho River,4106,unprotected,,800,23924915,25,14,0,5,9,0,0,2
27820893,Volleyball at the 1993 Summer Universiade,3618,unprotected,,889,27820893,25,14,0,24,9,0,0,2
42415262,Southcott Estates Inc v Toronto Catholic District School Board,9847,unprotected,,15045,42415262,25,14,1,23,9,0,0,2
42597662,Askajamuk II,5869,unprotected,,1858,42597662,25,14,0,16,9,0,0,2
47777900,Frankie Sanders,13450,unprotected,,3925,47777900,25,14,1,69,9,0,0,2
8559646,Willits Municipal Airport,9109,unprotected,,1340,8559646,25,14,3,26,10,0,0,2
